lat,long,aqi
41.685496143956065,-114.69718771943184,6
32.8211713258665,-115.07704032044984,73
38.264654068017016,-114.72069028349681,13
33.154529592636976,-114.76659227853544,18
32.94301407895936,-115.50667368440226,58
36.06073479764409,-115.32290204301538,17
38.949035589506906,-122.44966883153822,5
37.182459889620205,-122.08294349441972,8
36.51340442955755,-119.22148884454167,6
36.86894975584515,-118.76931580454966,8
33.0094106579306,-115.86991438089242,74
36.659927218428585,-114.20671679714624,11
36.001077918117154,-119.15015120326917,11
41.92161388015965,-120.5434433494682,8
39.09517949561658,-114.48688129112188,26
32.20789454904652,-114.0695187617306,9
39.075623994192625,-114.33956385564025,26
38.571743724783005,-122.08158792985718,12
40.25009747211277,-115.67362297505612,7
41.50804087755954,-122.69681806425865,9
33.3192997862407,-118.86248122877483,28
37.189845770312,-120.73930375927091,18
36.484625597494755,-117.11457157542256,13
33.530832299701295,-120.41015952698378,17
41.2702762178056,-118.87851852417019,17
39.67852044886499,-123.96254761212647,10
38.534239972285505,-119.51279229002859,23
37.56545220050474,-114.47379703843298,12
36.80816664428296,-121.16480931691575,7
34.75606164830791,-114.0610370733306,13
35.26952139667668,-115.60841154317855,15
36.53855099498675,-114.49498755410006,21
38.059115650869416,-114.18882053107009,13
37.32495931607498,-122.1367153289164,4
34.925407369593906,-117.25379979537652,15
33.867175853908535,-117.92362033685747,22
32.54559274256553,-117.79782423930007,52
41.42169163648609,-117.73365598778007,0
41.030815606843056,-117.94799253797599,0
41.227001350472555,-115.97398493020063,28
36.14737775188906,-118.9948113828131,11
38.92350571626568,-123.82894281088186,11
35.06844852836159,-121.71642432147804,6
39.61104007245529,-121.66243411699014,14
39.2990695376359,-120.67171729117761,1
36.25889732816431,-116.57858245206165,28
39.433310062305665,-114.20437885957539,28
41.245435686261956,-123.9823474160131,6
35.691982598544335,-121.2484244396974,6
40.77312017947101,-120.6579373053485,17
34.206599195017716,-121.35569521819242,22
38.57905093451558,-120.23284750912138,6
39.14254645722457,-122.14614259295553,23
37.66372995737942,-118.54806223985605,9
33.16531030730907,-116.21250824824799,21
39.205694326617156,-123.42576713560551,2
40.196410826523056,-123.56918822073199,11
34.48405458179551,-121.28882250539417,11
35.906955797304114,-122.40469307687013,28
37.95141144754734,-118.90106502022769,6
32.05052061768255,-116.14072277425856,64
32.8823473420092,-115.72334086331364,90
37.07528963259419,-117.06006706553447,13
33.821863372781515,-116.39900987901086,20
35.07799342578726,-120.80474280721957,1
36.40592283519639,-118.98900869298129,4
35.4271884344898,-117.40217222350681,14
40.20557700033389,-117.86687578018885,7
39.98316354410697,-116.33975003222629,9
38.64589872201766,-119.61809390352192,6
32.29864312527691,-116.82442303783608,58
40.54377902737743,-122.44871800857366,25
40.74510798085116,-114.07179975423429,8
38.488712366710494,-114.54445311400696,15
39.106356200286314,-121.4246082379893,12
37.517066447983325,-121.9724629053567,11
41.100449715051106,-121.18446093962423,27
33.40434369148649,-117.34175072432951,27
34.96197410821411,-118.42482693752973,4
41.20396297254341,-122.62894320588727,7
32.85524877572411,-117.95603924431124,52
35.67900816399213,-121.81233923461875,28
40.9826735575774,-117.68847788118407,0
35.23418649026479,-116.44561961255539,21
34.34151649337356,-121.11853290847336,22
33.21062215978618,-117.55565200856286,39
41.72627451036861,-117.20842461398881,0
39.1559793044277,-122.90294098869505,6
41.192850763562475,-120.32653270252004,21
37.23314256623484,-115.7991336419578,18
41.69203645104462,-118.34470249428762,0
34.45766932979563,-118.18050381105371,22
36.13686664447414,-119.83431221853996,6
39.40560496151241,-116.04159305896053,9
